Chord Type (titulo_aleatorio),Element Text,Phrase Role,Native Role Name,Font Size,Baseline Shift,Tracking (letter-spacing),,,
acorde menor com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde menor com quinta aumentada,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com quinta aumentada,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com quinta aumentada,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com quinta aumentada,+,acorde_AUMENTADO_8pt_shift4_5pt,"acorde_AUMENTADO_8pt_shift4,5pt",8pt,4.5pt,,,,
acorde suspenso com segunda,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com segunda,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com segunda,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com segunda,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com segunda,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com segunda,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com segunda,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com segunda,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com segunda,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com segunda,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com segunda,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com segunda,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com segunda,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com segunda,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com segunda,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com segunda,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com segunda,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com segunda,2,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com quarta,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com quarta,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com quarta,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com quarta,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com quarta,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com quarta,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde suspenso com quarta,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com quarta,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com quarta,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com quarta,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com quarta,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com quarta,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com quarta,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde suspenso com quarta,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde suspenso com quarta,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde suspenso com quarta,sus,acorde_SUSPENSO_8pt_shift2_4pt,"acorde_SUSPENSO_8pt_shift2,4pt",8pt,2.4pt,0em,,,
acorde suspenso com quarta,4,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
